,Buyer,Average Purchase Price
131,2002827 Alberta Limited,111.01
132,2020310 Ontario Limited - Signature Auto Sales,105.85
133,2029335 Alberta Limited,88.0
134,2032037 Alberta Limited,127.88666666666666
135,2035609 Ontario Inc - Jim Perry Motors,106.88014925373136
136,2037653 Alberta Limited,140.32600000000002
137,2059616 Alberta Limited,96.30333333333334
138,2062122 Ontario Inc - Autolocate,38.645116279069775
139,2068899 Alberta Limited,13.316666666666665
140,2071540 Ontario Inc - Airport Kia,95.9925
141,2085304 Ontario Inc,123.9
142,2096115 Ontario Inc - Cooksville Hyundai,114.67166666666668
143,2106074 Ontario Limited - Bank Street Mitsubishi,115.95
144,2120004 Alberta Limited - Diamond Motors,109.88223529411763
145,2132046 Ontario Inc - Autoloan Services,105.55583333333333
146,2144448 Alberta Corp,92.18142857142858
147,2148984 Alberta Limited,384.325
148,2152550 Ontario Inc - Vc Flex,95.4365
149,2152941 Alberta Inc,92.42
150,2163369 Alberta Limited,201.38
151,2171574 Ontario Inc - Guru Auto Service,103.10076712328768
152,2175655 Ontario Inc - Snap Auto Rental,99.75
153,2181869 Alberta Limited,267.6142857142857
154,2188388 Ontario Inc,91.67776041666666
155,2191440 Ontario Inc - Rahman Motors,85.50283018867923
156,2213931 Alberta Limited,93.23614864864864
157,2217172 Alberta Limited,173.495
158,2232618 Alberta Limited,222.3775
159,2244434 Ontario Inc - 417 Auto Sales,122.79633663366332
160,2246763 Ontario Inc - Breguet Motors,91.47628571428572
161,2261667 Alberta Limited,105.51
162,2266416 Alberta Limited,161.76
163,2266427 Alberta Inc,129.625
164,2276922 Alberta Limited,99.885
165,2311390 Ontario Inc - Barrie Volkswagen,98.435
166,2331781 Ontario Inc,87.014
167,2334052 Ontario Inc - Sams Auto,85.87782608695652
168,2343654 Ontario Inc - 401 Dixie Infiniti,105.1476923076923
169,2343654 Ontario Inc - 401 Dixie Nissan,107.03236842105262
170,2352389 Ontario Inc - Acez Auto Sales,68.87666666666667
171,2357642 Ontario Inc,211.5725
172,2359500 Alberta Limited,143.98541666666668
173,2360187 Ontario Corp,123.86237288135594
174,2360964 Alberta Limited,232.33333333333331
175,2383335 Alberta Limited,120.08888888888887
176,2390591 Alberta Inc,94.915
177,2397542 Ab Limited,111.05
178,2397542 Alberta Limited,76.51642857142858
179,2403274 Ontario Inc,95.58
180,2406182 Alberta Limited,116.29142857142855
181,2409316 Alberta Limited,94.78
182,2412347 Alberta Inc,66.73
183,2412508 Alberta Limited,85.69999999999999
184,2413220 Ontario Inc - Cambridge Mitsubishi,106.074
185,2423893 Ontario Inc - Motorline Auto Group,103.57166666666666
186,2428360 Alberta Limited,93.58285714285714
187,2428360 Alberta Limited Fagan Family Automotive,63.675
188,2435235 Alberta Limited,263.79
189,2437172 Alberta Limited,81.95
190,2449303 Ontario Limited - Venture Auto,88.44671875
191,2451683 Alberta Limited,102.41
192,2454800 Ontario Inc - Bells Corner Auto,94.35333333333334
193,2474743 Alberta Limited,144.0575
194,2479856 Alberta Limited,116.436
195,2498922 Ontario Inc,100.89875
196,2508046 Ontario Limited - Lauria Volkswagen,94.96
197,2508065 Ontario Limited,94.08
198,2512048 Ontario Inc - Ajax Mitsubishi,101.86428571428571
199,2514826 Ontario Inc - Lga Capital Partners,85.445
